N,distance,comm_range,connectivity,min_distance
10,2,5,0.8222222222222222,1.9998544742411382
10,2,10,1.0,1.9998544742411382
10,2,15,1.0,1.9998544742411382
10,2,20,1.0,1.9998544742411382
10,3,5,0.4888888888888889,2.9998093345776082
10,3,10,0.9777777777777777,2.9998093345776082
10,3,15,1.0,2.9998093345776082
10,3,20,1.0,2.9998093345776082
10,4,5,0.28888888888888886,3.999764195903355
10,4,10,0.8222222222222222,3.999764195903355
10,4,15,1.0,3.999764195903355
10,4,20,1.0,3.999764195903355
10,5,5,0.2222222222222222,4.999719057624804
10,5,10,0.6222222222222222,4.999719057624804
10,5,15,0.9111111111111111,4.999719057624804
10,5,20,1.0,4.999719057624804
20,2,5,0.5842105263157895,1.999709933264457
20,2,10,0.9947368421052631,1.999709933264457
20,2,15,1.0,1.999709933264457
20,2,20,1.0,1.999709933264457
20,3,5,0.2894736842105263,2.999664789945709
20,3,10,0.8210526315789474,2.999664789945709
20,3,15,1.0,2.999664789945709
20,3,20,1.0,2.999664789945709
20,4,5,0.1631578947368421,3.9996196494439746
20,4,10,0.5842105263157895,3.9996196494439746
20,4,15,0.8947368421052632,3.9996196494439746
20,4,20,1.0,3.9996196494439746
20,5,5,0.14736842105263157,4.999574510068976
20,5,10,0.4052631578947368,4.999574510068976
20,5,15,0.7157894736842105,4.999574510068976
20,5,20,0.9157894736842105,4.999574510068976
30,2,5,0.43448275862068964,1.9995943193017358
30,2,10,0.9402298850574713,1.9995943193017358
30,2,15,1.0,1.9995943193017358
30,2,20,1.0,1.9995943193017358
30,3,5,0.2045977011494253,2.999549169316968
30,3,10,0.6528735632183909,2.999549169316968
30,3,15,0.9448275862068966,2.999549169316968
30,3,20,1.0,2.999549169316968
30,4,5,0.11264367816091954,3.9995040254825676
30,4,10,0.43448275862068964,3.9995040254825676
30,4,15,0.7310344827586207,3.9995040254825676
30,4,20,0.9448275862068966,3.9995040254825676
30,5,5,0.09655172413793103,4.9994588841080745
30,5,10,0.29195402298850576,4.9994588841080745
30,5,15,0.5517241379310345,4.9994588841080745
30,5,20,0.767816091954023,4.9994588841080745
40,2,5,0.3474358974358974,1.9996339018482419
40,2,10,0.8474358974358974,1.9996339018482419
40,2,15,0.9987179487179487,1.9996339018482419
40,2,20,1.0,1.9996339018482419
40,3,5,0.15897435897435896,2.9996240050987955
40,3,10,0.5397435897435897,2.9996240050987955
40,3,15,0.85,2.9996240050987955
40,3,20,0.985897435897436,2.9996240050987955
40,4,5,0.0858974358974359,3.999578864167129
40,4,10,0.3474358974358974,3.999578864167129
40,4,15,0.6141025641025641,3.999578864167129
40,4,20,0.85,3.999578864167129
40,5,5,0.0782051282051282,4.999533724534189
40,5,10,0.2282051282051282,4.999533724534189
40,5,15,0.44871794871794873,4.999533724534189
40,5,20,0.65,4.999533724534189
50,2,5,0.28489795918367344,1.9996339018482419
50,2,10,0.746938775510204,1.9996339018482419
50,2,15,0.9787755102040816,1.9996339018482419
50,2,20,1.0,1.9996339018482419
50,3,5,0.12897959183673469,2.9995434866407242
50,3,10,0.4506122448979592,2.9995434866407242
50,3,15,0.746938775510204,2.9995434866407242
50,3,20,0.9281632653061225,2.9995434866407242
50,4,5,0.06938775510204082,3.999498344081189
50,4,10,0.28489795918367344,3.999498344081189
50,4,15,0.5159183673469387,3.999498344081189
50,4,20,0.746938775510204,3.999498344081189
50,5,5,0.0653061224489796,4.999569323555848
50,5,10,0.18612244897959185,4.999569323555848
50,5,15,0.37142857142857144,4.999569323555848
50,5,20,0.5502040816326531,4.999569323555848
