X,Y,Z
-3.0712848,6.603009,10.142022
2.0642881,-4.5228033,-0.71605986
-3.7875638,4.7009444,7.5009704
-0.9525419,-3.12664,8.61877
5.017936,-4.2553687,-0.9201249
-2.8847098,-1.7896363,1.0987674
-0.93397707,-2.5189395,1.3604468
-2.9499547,-1.5687366,0.4801496
-2.3770878,3.6629465,6.2614045
3.2623086,-3.0525942,0.095798805
2.2223017,-3.8232028,-0.7511669
-0.47307616,5.4098935,10.5314455
-1.2344925,-4.9622374,0.70810103
-0.36101577,-3.9634748,0.47033346
-3.9936914,5.0288525,8.543597
2.6363642,-3.8063807,0.8247984
-0.3380473,-2.6702983,7.592508
-0.37260443,4.9155707,9.429474
-2.0135179,5.805906,8.618871
-2.0892692,-3.9259176,-0.06210371
-1.3116006,-1.9912572,6.777562
-1.5888193,-2.7021542,0.48868263
-3.4629545,3.0688567,3.1676037
6.107593,-2.7707353,1.7268579
-4.383705,2.5147603,4.4049287
4.9955525,-1.5354685,-0.011912854
-1.2681733,-2.8837926,7.190778
3.6072862,-3.5021446,-0.7944584
-0.67760235,2.21061,9.591035
-1.4759873,5.526375,8.275337
-3.5936818,1.9806955,4.0338473
-1.0632739,2.9958894,4.069953
2.1385407,-3.8151953,0.35756412
-2.5009463,-3.998453,0.85334414
-1.3714608,2.9953275,9.315224
-3.6252444,0.60035366,3.5768893
-1.52802,-3.6963475,-0.4949191
-2.771985,4.4886804,7.322138
-1.1277344,4.2848744,8.63821
-3.2442515,4.6071653,6.453283
-0.87463695,5.737633,8.324651
-3.4458256,-1.9921991,1.0172464
5.539147,-1.7039198,0.029481167
1.2259029,-3.4120054,0.26218212
-2.3560278,-1.2905402,7.8137584
-1.6702055,2.825943,8.249087
-2.576515,6.5571322,10.30283
-3.1744473,-0.62058896,0.80918556
-1.6358821,-4.759329,1.1907922
0.5239675,-4.152747,-0.37109607
6.7104735,-4.4054127,0.15849718
-2.611521,6.267,8.723829
1.9830809,1.352317,2.4487934
2.9136014,-1.5724523,2.3758178
4.30494,-3.6004202,0.23982096
5.6824303,-3.984342,0.29812756
-4.7506104,0.79766434,2.7599924
-4.785979,-0.3332931,0.6437865
2.0795221,-4.480912,1.2414665
-2.8678384,5.6349945,8.889296
-1.3239621,-2.6008604,8.271769
4.6513233,-2.4262695,1.9257808
3.4706168,-0.44655126,1.7679538
-1.8023181,-2.176355,8.228119
4.6508846,-1.7487621,1.6124411
-1.5848074,3.4212036,8.384694
0.7863025,3.089436,8.515424
-2.111843,-1.7909782,8.299436
2.0097046,-4.764577,-1.2881855
2.6078713,-4.967532,-1.1947004
-0.37508923,3.4302151,7.536647
-2.9819672,1.7783471,3.8519735
-3.0553303,3.207797,5.8165946
2.2926192,0.3356334,2.788165
